URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com//book/show/43025686-behold-the-wanderer,Behold the Wanderer: A Novel against Modernity,Mathijs Koenraadt,1,7,3.86,193,2018,0,"Fiction, Urban, Religion",,,6.58,0.76
https://www.goodreads.com//book/show/41726040-callasandra,Callasandra: Fractured,Stephanie Douglas,4,13,4.38,362,2018,0,,,,8.14,2.32
https://www.goodreads.com//book/show/49014733-letters-from-the-light,Letters from the Light,Shel Calopa,48,63,4.27,469,2019,0,"Science Fiction, Science Fiction, Dystopia",,,7.81,1.99
https://www.goodreads.com//book/show/52226194-agnes-at-the-end-of-the-world,Agnes at the End of the World,Kelly McWilliams,406,1392,3.8,432,2020,0,"Young Adult, Science Fiction, Dystopia",,,6.4,0.58
https://www.goodreads.com//book/show/55375798-space-taxis,Space Taxis,Adam Frosh,37,54,4.61,340,2020,0,,,,8.83,3.01
https://www.goodreads.com//book/show/7201564-this-dream-called-death,This Dream Called Death,Stephen Janis,5,15,4.33,164,2009,0,,,,7.99,2.17
https://www.goodreads.com//book/show/11021753-the-dark-age,The Dark Age,Jeff W. Horton,13,57,4.02,333,2011,1,"Science Fiction, Dystopia, Christian Fiction",,,7.06,1.24
https://www.goodreads.com//book/show/12502043-unveiled,Unveiled,Trisha Wolfe,80,293,3.81,56,2012,1,"Fantasy, Young Adult, Science Fiction",,,6.43,0.61
https://www.goodreads.com//book/show/18213083-origins,Origins,S.E. Meyer,15,133,3.71,306,2013,1,"Science Fiction, Fantasy, Business",,,6.13,0.31
https://www.goodreads.com//book/show/18583321-after-the-fall---tales-of-the-apocalypse,After the Fall - Tales of the Apocalypse,Kelly Gardner,13,131,3.61,206,2013,0,"Apocalyptic, Post Apocalyptic, Short Stories",,,5.83,0.01
https://www.goodreads.com//book/show/19468216-plague-of-angels,Plague of Angels,John Patrick Kennedy,166,1028,3.49,416,2013,1,"Fantasy, Paranormal, Angels",,,5.47,-0.35
https://www.goodreads.com//book/show/16055238-khe,Khe,Alexes Razevich,74,501,3.74,284,2012,1,"Fantasy, Science Fiction, Fiction",,,6.22,0.4
https://www.goodreads.com//book/show/18661769-above-all-men,Above All Men,Eric Shonkwiler,46,193,4.04,266,2014,0,"Fiction, Science Fiction, Dystopia",,,7.12,1.3
https://www.goodreads.com//book/show/586852.The_Wall,The Wall,Marlen Haushofer,783,7288,4.03,240,1999,0,"Fiction, Science Fiction, European Literature",,"The Alps, Europe, Austria",7.09,1.27
https://www.goodreads.com//book/show/25131174-the-immortal-coil,The Immortal Coil,J. Armand,13,226,3.46,392,2015,1,"Fantasy, Paranormal, Vampires",,,5.38,-0.44
https://www.goodreads.com//book/show/30116307-beat,Beat,Jared Garrett,32,97,3.91,296,2015,1,"Science Fiction, Science Fiction, Dystopia",,,6.73,0.91
https://www.goodreads.com//book/show/12343299-empty-cradle,Empty Cradle: The Untimely Death of Corey Sanderson,Emmy Jackson,14,46,4.72,378,2011,0,"Science Fiction, Dystopia, Science Fiction",,,9.16,3.34
https://www.goodreads.com//book/show/7510368-the-cadaver-factory,The Cadaver Factory,Kenneth Jarrett Singleton,2,237,4.35,52,2004,0,"Fiction, Horror, Contemporary",,,8.05,2.23
https://www.goodreads.com//book/show/43866656-we-lost-the-sky,"We Lost the Sky (Moonless, #1)",Marie Howalt,21,41,4.37,295,2019,0,Science Fiction,,,8.11,2.29
https://www.goodreads.com//book/show/43517657-the-circle,The Circle: Taken,Sage Sask,72,115,4.11,442,2019,0,"Young Adult, Science Fiction, Dystopia",,,7.33,1.51
https://www.goodreads.com//book/show/3418598-kinderen-van-moeder-aarde,Kinderen van Moeder Aarde,Thea Beckman,90,3481,4.22,347,2003,1,"Fantasy, Young Adult, Childrens",,,7.66,1.84
https://www.goodreads.com//book/show/22591375-the-dead-lands,The Dead Lands,Dylan J. Morgan,26,43,4.19,470,2014,0,"Horror, Science Fiction, Apocalyptic",,,7.57,1.75
https://www.goodreads.com//book/show/30625170-dark-age,Dark Age,Felix O. Hartmann,19,98,3.82,344,2016,0,"Science Fiction, Fantasy, Fiction",,,6.46,0.64
https://www.goodreads.com//book/show/38726615-ana-rocha,Ana Rocha: Shadows of Justice,Ammar Habib,626,5146,4.23,218,2018,0,"Thriller, Mystery, Crime",,"Houston, Texas",7.69,1.87
https://www.goodreads.com//book/show/2111628.Ark,Ark,Stephen Baxter,298,3523,3.85,457,2009,1,"Science Fiction, Fiction, Apocalyptic",,,6.55,0.73
https://www.goodreads.com//book/show/22466244-the-social-event,The Social Event,Don Lively,2,15,3.93,350,2014,0,,,"San Jose, California, Mojave Desert, Tehachapi, California, Doha",6.79,0.97
https://www.goodreads.com//book/show/23511050-the-whale-kingdom-quest,The Whale Kingdom Quest,Ming Wei,20,20,3.85,234,2014,0,,,,6.55,0.73
https://www.goodreads.com//book/show/19395125-the-vanishing-girl,The Vanishing Girl,Laura Thalassa,475,5025,3.89,338,2014,1,"New Adult, Romance, Fantasy",,,6.67,0.85
https://www.goodreads.com//book/show/13112869-not-a-drop-to-drink,Not a Drop to Drink,Mindy McGinnis,2140,12348,3.82,309,2013,1,"Young Adult, Science Fiction, Dystopia",,,6.46,0.64
